source,target,p_val,lag
AAPL,ABBV,0.0017733463047946972,1
AAPL,AMZN,0.0001893151161807363,1
AAPL,BA,3.298510846009075e-07,1
AAPL,BAC,0.0007061821043984947,1
AAPL,BRK-B,0.002730927240659232,1
AAPL,CAT,9.250368537171846e-05,1
AAPL,COP,6.419264416215094e-07,1
AAPL,CVX,0.0001195544247062849,3
AAPL,GE,0.0198543972093612,1
AAPL,GOOGL,0.0020357570681658844,1
AAPL,GS,0.00968581786308371,1
AAPL,HD,1.0822361196499563e-05,1
AAPL,HON,0.006321888732317163,1
AAPL,JNJ,0.0005041905298962684,1
AAPL,JPM,0.001861473960039058,1
AAPL,LLY,0.01119975418030017,1
AAPL,META,0.0009555351127263219,1
AAPL,MSFT,0.007739868279478356,3
AAPL,NKE,0.024989617751822006,3
AAPL,NVDA,0.001532845831791196,1
AAPL,PFE,0.00014397699649894868,1
AAPL,SLB,0.0006633795797790329,1
AAPL,UNH,0.002180078200868791,5
AAPL,UPS,0.0020109734986240315,1
AAPL,V,0.00561085013542192,5
AAPL,WMT,0.01198257307430153,3
AAPL,XOM,8.960468769245765e-06,3
ABBV,AAPL,0.0007793614612195412,2
ABBV,AMZN,0.010744654976406937,3
ABBV,BA,0.0011828195413951688,1
ABBV,BAC,1.274083801771126e-05,1
ABBV,BRK-B,0.04668149950917997,1
ABBV,CAT,9.2761508864037e-06,2
ABBV,COP,0.00023244920429446911,1
ABBV,CVX,0.00038491607957891373,2
ABBV,GE,2.5576373257217642e-05,1
ABBV,GOOGL,0.00044495680887343615,2
ABBV,GS,8.616260416140068e-05,1
ABBV,HD,1.622511972509345e-05,2
ABBV,HON,0.00012844100867079488,1
ABBV,JNJ,0.00017152338023705224,3
ABBV,JPM,0.00022353075384683939,1
ABBV,LLY,0.017941943545346922,2
ABBV,META,0.017740745226212464,2
ABBV,MSFT,8.95486545957269e-06,3
ABBV,NEE,0.020301396111927255,2
ABBV,NVDA,0.0050990727388337135,1
ABBV,PFE,0.0026156459200842334,1
ABBV,SLB,0.0025010562554734143,1
ABBV,UPS,3.9030481117268655e-05,1
ABBV,V,0.006683789533055189,2
ABBV,WMT,3.575466899967881e-05,2
ABBV,XOM,0.00017394495727524265,1
AMZN,BA,0.001398439544156276,1
AMZN,TSLA,0.003987191198639114,4
AMZN,UNH,0.047321995002379054,5
BA,AAPL,1.986239333011966e-05,4
BA,ABBV,1.973047509517655e-07,5
BA,AMZN,0.015261536871428298,2
BA,BAC,0.02431136511564311,4
BA,BRK-B,0.0001976267603872424,5
BA,COP,0.004176222867182131,5
BA,CVX,0.0015819369833501593,5
BA,GE,0.0012267385323111682,4
BA,GOOGL,0.029017022674933425,4
BA,GS,0.015473734529836964,4
BA,HD,3.438736989383364e-05,4
BA,HON,0.00016387717656586806,5
BA,JNJ,6.231193034003265e-08,5
BA,LLY,0.0034431804322759803,4
BA,META,0.020616538250685035,2
BA,MSFT,0.0005573220714343879,4
BA,NEE,1.523337291389662e-06,4
BA,NKE,0.0013668739390605307,4
BA,NVDA,0.008963484296494628,4
BA,PFE,0.002136484246502568,4
