,ann_ret,ann_vol,VaR_99,CVaR_99,max_drawdown,sharpe,sortino,calmar,sector,degree,eigenvector,betweenness,community
AAPL,0.3175625300399866,0.3085043834048526,-0.0530324975837973,-0.0731102445015461,-0.3517886593999555,1.0293614843820449,1.3790265643905224,0.9027082640516374,Technology,0.06896551724137931,0.034819265802206484,0.06896551724137931,4
ABBV,0.1587254603975688,0.2550338425196773,-0.0441784693163983,-0.0776128717683782,-0.3574961708799766,0.622370187538237,0.7023860475107764,0.4439920573327154,Healthcare,0.034482758620689655,0.14133126884232627,0.0,0
AMZN,0.1765134618599009,0.3413411324927922,-0.0566878921033913,-0.0775274487870201,-0.6189388913060521,0.5171174671239722,0.7221390547888075,0.2851872201590557,Consumer,0.034482758620689655,0.03295283801341092,0.0,4
BA,-0.0965623279874762,0.4825483945000208,-0.0785195395922856,-0.1337505790471044,-0.8450687253617444,-0.2001091063364258,-0.2535927640514027,-0.1142656509340601,Industrials,0.034482758620689655,0.06843519415507755,0.0,1
BAC,0.118932033517938,0.3388620438518508,-0.0545868330186967,-0.0819627454699207,-0.5255411419333,0.3509747865710646,0.4793170564193179,0.22630394469294,Financials,0.10344827586206896,0.030224687601400343,0.1354679802955665,2
BRK-B,0.133990442207692,0.2078028608491596,-0.0347120342995597,-0.0545239006812735,-0.3191888941223765,0.6447959458313393,0.8335098258324639,0.4197841612757376,Financials,0.27586206896551724,0.6181460543408482,0.8522167487684729,3
CAT,0.1993362626438167,0.3170254753106087,-0.0553870090907702,-0.0767608240068164,-0.4087267251934397,0.628770487445891,0.8515059506299805,0.4877005841726549,Industrials,0.034482758620689655,0.00919247380893909,0.0,2
COP,0.1059463448051672,0.4203029486463338,-0.0705341123767013,-0.1098113203793488,-0.7167347966723961,0.2520713812415251,0.3252724627792605,0.1478180566885368,Energy,0.06896551724137931,0.044828204827438434,0.06896551724137931,3
CVX,0.0866848832878682,0.3358571804197384,-0.0484617919627016,-0.0927247352731691,-0.6006852851498341,0.2581004317952457,0.3068297388767048,0.1443099829992433,Energy,0.10344827586206896,0.21009546550784708,0.19704433497536947,3
GE,0.2503212438322583,0.3964047391141926,-0.0695977215626538,-0.0981881770885982,-0.6254193035124762,0.6314789383992406,0.8588283032509473,0.4002454712005299,Industrials,0.034482758620689655,0.06810206656713627,0.0,1
GOOGL,0.2158856764000332,0.3122763413472188,-0.05285728185796,-0.0727298276147199,-0.4795457089726944,0.6913289539279918,0.926965199973304,0.4501879015089382,Technology,0.06896551724137931,0.033142756785872675,0.06896551724137931,4
GS,0.2250892003184464,0.3165037965028493,-0.0459574639350761,-0.0810908716273434,-0.4902114453755097,0.7111737767620112,0.9614104632545956,0.459167574404601,Financials,0.034482758620689655,0.006369065943815558,0.0,2
HD,0.1607866729854144,0.2767655300681239,-0.0458415096080111,-0.0772379967628888,-0.416634062369883,0.580949054406587,0.6809304737619921,0.3859182133857068,Consumer,0.10344827586206896,0.29030127090295565,0.1354679802955665,5
HON,0.1111715208238639,0.258130743429692,-0.0443613443676229,-0.0679526535764439,-0.4533726633980707,0.4306791176702442,0.5478812643865584,0.2452100221275428,Industrials,0.10344827586206896,0.21039840922423703,0.1354679802955665,1
