source,target,weight
AAPL,MSFT,0.7256021280681749
AAPL,TSLA,1.0252492438920295
ABBV,JNJ,1.0531077008757113
AMZN,MSFT,0.7955125446588394
BA,HON,0.9018383840489529
BAC,JPM,0.4668925254689852
BAC,GS,0.5842596130232711
BAC,CAT,0.8432619849936416
BRK-B,JPM,0.6720278994576264
BRK-B,HON,0.7450029631554017
BRK-B,V,0.81291979790548
BRK-B,CVX,0.8643319720927605
BRK-B,HD,0.9199764360045923
BRK-B,JNJ,0.9674313703680059
BRK-B,UNH,0.9798328596599113
BRK-B,UPS,1.0134350317161327
COP,CVX,0.5622407562547029
COP,SLB,0.617633750811516
CVX,XOM,0.5512768184836119
GE,HON,0.8974484316377663
GOOGL,MSFT,0.7234072340911576
GOOGL,META,0.858283638688477
HD,NEE,1.0236252122950367
HD,WMT,1.0992158254300828
JNJ,PFE,0.9839684052614605
JNJ,LLY,1.074379931212438
MSFT,NVDA,0.8041973538859731
MSFT,V,0.87263635546825
NKE,V,0.9700642961021001
