ticker,expected_return,adjusted_vol,direction_prob,risk_signal,regime_pred,regime_prob,regime_multiplier,systemic_risk_score,alpha_signal,risk_rank,final_score,sector
AAPL,8.876524e-21,-0.2567805593872627,0.44644424,-0.22915936,2,0.51,1.0,60.26636836181618,0.44644424,15.0,-0.9742886424064636,Technology
ABBV,-4.09013e-21,-0.10194022473305223,0.52467746,-0.097222246,2,0.62,1.0,24.263883454509426,0.52467746,18.0,0.8480366468429565,Healthcare
AMZN,-1.5125871e-22,0.1893140133420269,0.5009126,0.17489699,2,0.65,1.0,41.215770602009975,0.5009126,24.0,0.11841020733118057,Consumer
BA,-3.3787961e-21,0.7693492424834033,0.5203857,0.69898754,2,0.75,1.0,50.33115364246867,0.5203857,27.0,0.29497209191322327,Industrials
BAC,5.82965e-22,-0.33834244598579644,0.49648273,-0.30056563,2,0.67,1.0,62.8428735571751,0.49648273,12.0,0.2791409492492676,Financials
BRK-B,2.608188e-21,-0.6838253974914551,0.48426372,-0.5698545,2,0.66,1.0,100.0,0.48426372,7.0,0.13475848734378815,Financials
CAT,-2.5771575e-21,-0.6236797864269141,0.51554906,-0.56534034,2,0.56,1.0,51.59674814222988,0.51554906,8.0,0.8907120823860168,Industrials
COP,3.1395198e-21,-0.7252178485273788,0.48105797,-0.6640418,2,0.69,1.0,46.063387693076336,0.48105797,2.0,0.11015233397483826,Energy
CVX,6.3622806e-22,-0.713555982679929,0.49616137,-0.64765906,2,0.61,1.0,50.87315462007198,0.49616137,3.0,0.4670886993408203,Energy
GE,3.5983589e-22,-0.10217740412421919,0.49782896,-0.093803704,2,0.61,1.0,44.63416689001098,0.49782896,19.0,0.19517892599105835,Industrials
GOOGL,2.5918725e-21,0.004367794920310194,0.48436216,0.0039788983,2,0.54,1.0,48.869889294280014,0.48436216,22.0,-0.18646103143692017,Technology
GS,-1.3829587e-20,0.03993550494670831,0.58343965,0.035240535,2,0.56,1.0,66.61320968319234,0.58343965,23.0,2.1979990005493164,Financials
HD,-4.636058e-22,-0.6036645778067629,0.5027971,-0.5327711,2,0.64,1.0,66.53276225971503,0.5027971,10.0,0.5631800293922424,Consumer
HON,1.10464696e-20,-0.24322555670855803,0.43335205,-0.21154311,2,0.59,1.0,74.88412945008062,0.43335205,16.0,-1.3016374111175537,Industrials
JNJ,5.4578698e-21,-0.6765734568772679,0.4670704,-0.6078556,2,0.67,1.0,56.52480362304873,0.4670704,5.0,-0.26065558195114136,Healthcare
JPM,-8.903014e-21,-0.1598049953024215,0.5537156,-0.1419565,2,0.7,1.0,62.86609944444894,0.5537156,17.0,1.5772805213928223,Financials
LLY,7.0706605e-22,0.8625763881354706,0.49573398,0.8504614,2,0.58,1.0,7.1225833442360065,0.49573398,28.0,-0.3881193697452545,Healthcare
META,-3.430691e-21,0.4959127444148834,0.5206988,0.4626032,2,0.59,1.0,36.002271699515106,0.5206988,25.0,0.4358690679073334,Technology
MSFT,5.219769e-21,-0.32044539663711763,0.46850696,-0.28532854,2,0.63,1.0,61.53758707915953,0.46850696,14.0,-0.40771186351776123,Technology
NEE,5.985097e-22,-0.4334816769789075,0.49638894,-0.4089187,2,0.64,1.0,30.034048212642755,0.49638894,11.0,0.33797144889831543,Energy
NKE,4.401677e-21,-0.00364472403454325,0.47344285,-0.0033095512,2,0.66,1.0,50.63720992326639,0.47344285,21.0,-0.4470844566822052,Consumer
NVDA,6.2594393e-21,1.1361019589619992,0.4622342,1.045414,2,0.57,1.0,43.37419937699884,0.4622342,29.0,-1.3102476596832275,Technology
PFE,6.895218e-21,-0.30915560317326224,0.45839828,-0.2975833,2,0.71,1.0,19.44378417463079,0.45839828,13.0,-0.6458814144134521,Healthcare
SLB,9.7540774e-21,-0.648369572039695,0.4411496,-0.5937902,2,0.67,1.0,45.958489161749014,0.4411496,6.0,-0.8970261812210083,Energy
TSLA,-1.9890377e-20,4.237399889021605,0.6200069,4.0527554,2,0.63,1.0,22.7801232710484,0.6200069,30.0,0.8189296722412109,Consumer
UNH,6.0618328e-21,-0.09359758961767614,0.46342644,-0.08561487,2,0.71,1.0,46.61995247776592,0.46342644,20.0,-0.6435128450393677,Healthcare
UPS,6.921763e-21,-0.6731338548904405,0.45823812,-0.6219954,2,0.71,1.0,41.10839589437755,0.45823812,4.0,-0.4668162763118744,Industrials
V,-2.6564768e-21,-0.6318172931904374,0.5160276,-0.5384461,2,0.59,1.0,86.70427727375163,0.5160276,9.0,0.8871480822563171,Financials
WMT,1.0127374e-20,0.6004373694121524,0.43889734,0.59759724,2,0.57,1.0,2.3762894251473425,0.43889734,26.0,-1.623498797416687,Consumer
XOM,8.173266e-21,-0.768549507887863,0.4506873,-0.703591,2,0.71,1.0,46.16213096824482,0.4506873,1.0,-0.6038681268692017,Energy
