,degree,betweenness,eigenvector,pagerank,sector,systemic_risk_score
AAPL,0.5517241379310345,0.03575262996445262,0.18058895369405925,0.0416591870866419,Technology,60.26636836181618
ABBV,0.13793103448275862,0.0008210180623973727,0.02427066964213257,0.015770985045215243,Healthcare,24.263883454509426
AMZN,0.3103448275862069,0.005420448462320383,0.08312988476053791,0.026658988260220586,Consumer,41.215770602009975
BA,0.5172413793103449,0.005389321953361363,0.20484835142621263,0.03511341020080941,Industrials,50.33115364246867
BAC,0.6551724137931034,0.016752527713118845,0.28124893811211976,0.0497779498779231,Financials,62.8428735571751
BRK-B,0.7931034482758621,0.15073974328900436,0.294458950654884,0.06496427847767813,Financials,100.0
CAT,0.5172413793103449,0.004561537258581594,0.22321300504230443,0.038210774863924754,Industrials,51.59674814222988
COP,0.41379310344827586,0.0,0.2022835887515126,0.033843368430645435,Energy,46.063387693076336
CVX,0.48275862068965514,0.003117913832199546,0.22759759412814978,0.039149031172553805,Energy,50.87315462007198
GE,0.41379310344827586,0.0,0.18527622975357516,0.03074842515543115,Industrials,44.63416689001098
GOOGL,0.4482758620689655,0.007929666119321293,0.15768915482743698,0.03462031088669673,Technology,48.869889294280014
GS,0.6896551724137931,0.027587936147049446,0.28242264156011765,0.05138976560419116,Financials,66.61320968319234
HD,0.6551724137931034,0.045309144878110386,0.20962877820304196,0.0454612752537754,Consumer,66.53276225971503
HON,0.7241379310344828,0.05721503455493603,0.27556867625711834,0.05464883591058878,Industrials,74.88412945008062
JNJ,0.27586206896551724,0.07691864101962625,0.05713406224596011,0.03087979119875825,Healthcare,56.52480362304873
JPM,0.6551724137931034,0.016752527713118845,0.2820389268065855,0.049828244978214725,Financials,62.86609944444894
LLY,0.034482758620689655,0.0,0.002802376425185434,0.008155050488356973,Healthcare,7.1225833442360065
META,0.24137931034482757,0.0,0.07133453332095152,0.021471376546766244,Technology,36.002271699515106
MSFT,0.5517241379310345,0.037902013148318564,0.1826310195400394,0.043485661383595664,Technology,61.53758707915953
NEE,0.13793103448275862,0.0009852216748768474,0.04346691016212868,0.013771799022148735,Energy,30.034048212642755
NKE,0.5172413793103449,0.010207690503257007,0.17116646400105842,0.033699596339040475,Consumer,50.63720992326639
NVDA,0.3448275862068966,0.0078316251345808,0.09737704975860466,0.02841084694450236,Technology,43.37419937699884
PFE,0.10344827586206896,0.0,0.018924288165779325,0.013866711252017884,Healthcare,19.44378417463079
SLB,0.41379310344827586,0.0,0.20107149187663195,0.03361621318394386,Energy,45.958489161749014
TSLA,0.13793103448275862,0.0,0.0285876146758082,0.01314960617391007,Consumer,22.7801232710484
UNH,0.3793103448275862,0.020348541715536794,0.12526814651507368,0.028162011500090973,Healthcare,46.61995247776592
UPS,0.3793103448275862,0.0007094438128920889,0.1356745375754313,0.02469072656134676,Industrials,41.10839589437755
V,0.7931034482758621,0.10567840752569817,0.26753584262385605,0.05559278598421025,Financials,86.70427727375163
WMT,0.0,0.0,3.781284351658589e-16,0.0051457975986277885,Consumer,2.3762894251473425
XOM,0.41379310344827586,0.0,0.20377939944802081,0.03405719461817355,Energy,46.16213096824482
